id;description;treatment;question;negative;positive
1;нет данных о больном;;вы точно болеете?;2;4
2;здоров как бык;1;;;
4;Анемический синдром;;"Вы испытываете слабость, головокружение, голов.боль Плохая переносимость физ.нагрузок, снижение аппетита, снижение работоспособности, внимания, обучаемости. Бледность кожных покровов и видимых слизистых оболочек. Тахикардия и систолический шум.";6;5
6;гип синдром;;"Замечали ли вы -слабость, - головокружение, - повышение температуры? Есть ли у вас желтуха?";2;7
5;Сидеропенический синдром;;"есть ли у вас два или более симптомов?: изменение кожи (пигментации цвета кофе с молоком) и слизистых оболочек (заеды в углу рта); изменение и ломкость ногтей; изменение волос (ломкость,тусклость,алопеция); гипотония (мышечная и артериальная); изменение обоняния (пристрастие к запахам лака,краски,ацетона);изменение вкуса ( пристрастие к мелу,глине, сырым продуктам);";9;8
8;биохим анализ крови;;"Пожалуйста сделайте биоимический анализ крови и получите анализ Сывороточного железа. Сывороточное железо снижено (менее 1О мкмоль/л)?";11;12
9;жкт;;"Есть ли у вас поражение ЖКТ (глоссит, ангулярный хейлит, тяжесть в животе, ахилический понос, стоматит, эзофагит, гастрит)?";11;10
10;биохим анализ;;"Пожалуйста сделайте биоимический анализ крови и получите анализ крови Проверьте уровень витамина B12 и фолиево кислоты в сыровотке снижен? Норма 100-250пг/мл вит.В12, норма фолиевой кислоты 3-9нг/мл";11;13
7;гип анемия;4;;;
11;неизвестности;5;;;
12;ж анемия;2;;;
13;др анемия;3;;;
